name,cuisine,latitude,longitude,address,rating,review_count,price,cafe,food_court,halal,vegetarian,wheelchair_accessible
Bruno's Bistrot,Italian,1.31213,103.91116,"['201 Telok Kurau Rd', '#01-06, Kurau Court', 'Singapore 423910', 'Singapore']",4,5,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Prego,Italian,1.293827,103.854009,"['80 Bras Basah Rd', 'Level 1', 'Singapore 189560', 'Singapore']",3.5,28,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Pizzeria L'Operetta,Italian,1.275,103.8445206,"['Icon Village #01-78-81', '12 Gopeng Street', 'Singapore 078877', 'Singapore']",3,13,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Baci Baci,Italian,1.364537028,103.8700351,"['27 Lichfield Rd', 'Singapore 556847', 'Singapore']",4.5,6,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Latteria Mozzarella Bar,Italian,1.27859,103.8429031,"['40 Duxton Hill', 'Singapore 089618', 'Singapore']",4,31,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
La Braceria,Italian,1.33164,103.8070526,"['5 Greendale Ave', 'Hillcrest', 'Singapore 289501', 'Singapore']",3.5,8,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Cacio e Pepe Cucina Italiano,Italian,1.357796164,103.760363,"['3 Chu Lin Road', 'Singapore 669890', 'Singapore']",3.5,3,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Senso Ristorante & Bar,Italian,1.28251,103.84663,"['21 Club St', 'Singapore 069410', 'Singapore']",4,14,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
DOP Mozzarella Bar,Italian,1.29026,103.83919,"['60 Robertson Quay', '#01-04A The Quayside', 'Singapore 238252', 'Singapore']",4,8,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
La Forketta Gastronomia Italiana,Italian,1.3036447,103.8098267,"['9 Dempsey Rd', '#01-09', 'Singapore 247697', 'Singapore']",2.5,14,$$$,FALSE,FALSE,FALSE,FALSE,TRUE
