,name,cuisine,latitude,longitude,address,rating,review_count,price
1413,Old Street Bak Kut Teh,chinese,1.29175509972327,103.849403619053,"['109 North Bridge Road', '#01-15, Funan DigitalLife Mall', 'Singapore 179097', 'Singapore']",4.0,2,$$
1414,Hong Chang Eating House,chinese,1.3431914,103.8704541,"['2 Braddel Rd', 'Singapore 359895', 'Singapore']",5.0,2,$$
1415,Lung Kee,chinese,1.28483,103.8333893,"['57 Eng Hoon Street', '#01-72', 'Singapore 160057', 'Singapore']",5.0,1,$$
1416,Tanyoto,chinese,1.291061,103.844707,"['177 River Valley Rd', '#01-25', 'Singapore 179030', 'Singapore']",4.5,4,$$
1417,LDM Charcoal BBQ Restaurant,chinese,1.31229,103.8783188,"['260 Geylang Road', 'Singapore 389316', 'Singapore']",4.0,2,$$
1418,Kai Garden,chinese,1.290543,103.857542,"['6 Raffles Blvd', '#03-128 B', 'Singapore 039594', 'Singapore']",4.0,8,$$
1419,Hai Di Lao,chinese,1.289833,103.845535,"['3D River Valley Rd', '#02-04', 'Singapore 179023', 'Singapore']",4.0,42,$$$
1420,Chao Shan Cuisine,chinese,1.28437,103.84986,"['17 Philip St', '#01-01/02, Grand Building', 'Singapore 048695', 'Singapore']",4.0,3,$$$
1421,Wah Lok Cantonese Restaurant,chinese,1.29607890349375,103.85253583566,"['76 Bras Basah Rd', 'Level 2', 'Singapore 189558', 'Singapore']",4.0,17,$$$
1422,Shang Palace,chinese,1.311153,103.826574,"['22 Orange Grove Rd', 'Singapore 258350', 'Singapore']",4.5,7,$$$
1423,Longqing Hotpot,chinese,1.2876670767679,103.847252726555,"['18 Hongkong St', 'Singapore 059661', 'Singapore']",5.0,5,$$$
1424,Blue Lotus Chinese Eating House,chinese,1.2498743,103.8418398,"['31 Ocean Way', '#01-13', 'Quayside Isle 098375', 'Singapore']",4.0,5,$$$
1425,Crystal Jade Kitchen,chinese,1.30107,103.9051666,"['80 Marine Parade Road', 'Parkway Parade #B1-17', 'Singapore 449269', 'Singapore']",4.0,1,$$$
1426,Jade Palace Seafood,chinese,1.30760284564838,103.82869720459,"['583 Orchard Rd', '#B1-13', 'Singapore 238884', 'Singapore']",3.5,10,$$$
1427,Roland,chinese,1.30110071037392,103.90656774499,"['89 Marine Parade Central', 'Singapore 440089', 'Singapore']",4.5,15,$$$
1428,Le Chasseur,chinese,1.320742,103.899572,"['27 Eunos Road 2', 'Singapore 409387', 'Singapore']",3.0,2,$$$
1429,Xin Yue Cantonese Restaurant,chinese,1.2934199612849,103.841710276902,"['207 River Valley Rd', '#01-51/54', 'Singapore 238275', 'Singapore']",4.0,2,$$$
1430,Peach Garden,chinese,1.28853,103.837394,"['401 Havelock Rd', 'Level 3', 'Singapore 169631', 'Singapore']",3.5,8,$$$
1431,Ampang Niang Tou Fu,chinese,1.30767,103.90714,"['225 East Coast Rd', 'Singapore 428922', 'Singapore']",4.0,4,$$$
1432,Eng Seng Restaurant,chinese,1.31436,103.9058914,"['247/249 Joo Chiat Place', 'Singapore 427935', 'Singapore']",4.0,11,$$$
1433,Chopsuey Cafe,chinese,1.30331,103.81041,"['Blk 10, Dempsey Road', '#01-23', 'Singapore 247700', 'Singapore']",4.0,21,$$$
1434,Beauty in the Pot,chinese,1.3015800634838,103.839601800825,"['176 Orchard Rd', '#05-15/16', 'Singapore 238843', 'Singapore']",4.0,6,$$$
1435,Jiang-Nan Chun,chinese,1.3052,103.82866,"['190 Orchard Blvd', 'Singapore 248646', 'Singapore']",4.5,7,$$$
1436,London Fat Duck,chinese,1.30564333105613,103.832810372114,"['6 Scotts Rd', '#B1-16/17', 'Singapore 228209', 'Singapore']",3.0,12,$$$
1437,TungLok Xihe Peking Duck,chinese,1.30111,103.8394699,"['181 Orchard Road', '#07-07/09, Orchard Central', 'Singapore 238896', 'Singapore']",2.5,4,$$$
1438,Uncle Leong Seafood,chinese,1.34411,103.7411499,"['262 Jurong East St 24', '#01-485', 'Singapore 600262', 'Singapore']",3.5,3,$$$
1439,Pin Si,chinese,1.42424,103.8407288,"['60 Yishun Ave 4, #02-VI Safra Yishun Country Club', 'Singapore 769027', 'Singapore']",4.5,5,$$$
1440,Teck Ee Rice & Porridge,chinese,1.3097,103.9020615,"['Blk 300, Joo Chiat Road', 'Tin Yeang Restaurant', 'Singapore 427551', 'Singapore']",4.0,4,$$$
1441,Peach Garden Noodle House,chinese,1.3625864,103.9898234,"['80 Airport Boulevard, Departure Transit Lounge Mezzanine Level 3', 'Changi Airport Terminal 1', 'Singapore 819642', 'Singapore']",4.0,6,$$$
1442,Blue Ginger,chinese,1.27755201956185,103.843799999928,"['97 Tanjong Pagar Rd', 'Singapore 088518', 'Singapore']",4.0,35,$$$
1443,Lei Garden,chinese,1.295327,103.852358,"['30 Victoria St', '#01-24', 'Singapore 187996', 'Singapore']",4.0,17,$$$
1444,The Magic of Chongqing Hot Pot,chinese,1.3062,103.826622,"['19 Tanglin Road', '#04-06, Tanglin Shopping Centre', 'Singapore 247909', 'Singapore']",3.5,8,$$$
1445,Prima Tower Revolving Restaurant,chinese,1.26508,103.82556,"['201 Keppel Rd', 'Singapore 099419', 'Singapore']",4.0,6,$$$
1446,Chuan Yuan Restaurant,chinese,1.29017,103.852,"['Pagoda Street 79/79A/81/81A', 'just outside Chinatown Mrt Station Exit A', 'Singapore 059238', 'Singapore']",1.0,1,$$$
1447,Springleaf Taiwan Porridge,chinese,1.3717099,103.8292923,"['18 Jln Leban', 'Singapore 577555', 'Singapore']",1.0,1,$$$
1448,Spring Court,chinese,1.28431,103.8445206,"['52 Upper Cross St', 'Singapore 058348', 'Singapore']",3.5,8,$$$
1449,Cz'zar,chinese,1.29414,103.8314972,"['1 Kim Seng Promenade', 'Singapore 237994', 'Singapore']",3.0,1,$$$
1450,Imperial Treasure Steamboat Restaurant,chinese,1.30424056436893,103.831853829324,"['2 Orchard Turn', '#04-09/10', 'Singapore 238801', 'Singapore']",4.0,11,$$$
1451,Lokkee,chinese,1.30048,103.84491,"['68 Orchard Rd', '#03-01, Plaza Singapura', 'Singapore 238839', 'Singapore']",3.5,6,$$$
1452,Min Jiang,chinese,1.308375,103.834396,"['22 Scotts Rd', 'Singapore 228221', 'Singapore']",3.5,7,$$$
1453,Tim Ho Wan,chinese,1.33406200052076,103.74260651474,"['3 Gateway Dr', '#01-13/14', 'Singapore 608532', 'Singapore']",4.0,12,$$$
1454,Chin Huat Live Seafood,chinese,1.32229069671691,103.769574339094,"['Blk 105 Clementi St 12', '#01-30', 'Singapore 120105', 'Singapore']",4.5,18,$$$
1455,Paradise Teochew,chinese,1.30054570444561,103.900714355067,"['21 Amber Rd', '#03-01, Chinese Swimming Club', 'Singapore 439870', 'Singapore']",3.5,3,$$$
1456,Imperial Treasure,chinese,1.30255964813378,103.835237717381,"['391 Orchard Rd', '#04-22', 'Singapore 238873', 'Singapore']",4.0,10,$$$
1457,Kelly Jie Seafood,chinese,1.34083,103.854,"['Blk 211 Lorong 8 Toa Payoh', '#01-11/15', 'Singapore 310211', 'Singapore']",4.0,17,$$$
1458,Si Chuan Dou Hua,chinese,1.2852903,103.8501032,"['80 Raffles Place', '#60-01', 'UOB Plaza', 'Singapore 048624', 'Singapore']",3.5,13,$$$
1459,Mu Liang Zai Liang Kee,chinese,1.28935074291244,103.828036040068,"['719 Havelock Rd', 'Singapore 161053', 'Singapore']",4.0,2,$$$
1460,Din Tai Fung,chinese,1.33285,103.74333,"['50 Jurong Gateway Rd', '#02-07', 'Singapore 609690', 'Singapore']",5.0,4,$$$
1461,Peony Jade @ Keppel Club,chinese,1.26684,103.8074265,"['10 Bukit Chermin Rd', 'Singapore 109918', 'Singapore']",4.0,6,$$$
1462,Chui Huay Lim Teochew Cusine,chinese,1.31240810793259,103.84449005127,"['190 Keng Lee Road', '#01-02 Chui Huay Lim Club', 'Singapore 308409', 'Singapore']",4.0,13,$$$
1463,Coca Restaurant,chinese,1.25612890217633,103.820195047089,"['26 Sentosa Gateway', '#01-215 Resorts World Sentosa', 'Southern Islands 098138', 'Singapore']",1.0,2,$$$
1464,Grandma's,chinese,1.295968,103.858967,"['3 Temasek Boulevard', '#B1-108', 'Singapore 038983', 'Singapore']",4.0,4,$$$
1465,Canton-I,chinese,1.30407,103.8318176,"['2 Orchard Turn', '#03-14', 'Singapore 238801', 'Singapore']",3.0,4,$$$
1466,Ka-Soh Seafood Restaurant,chinese,1.28248815647584,103.835898041066,"['2 College Road', 'Alumni Medical Centre', 'Singapore 169850', 'Singapore']",3.5,6,$$$
1467,The Clifford Pier,chinese,1.2839449,103.8535294,"['80 Collyer Quay', 'Singapore 049326', 'Singapore']",3.5,17,$$$
1468,Man Fu Yuan,chinese,1.298522,103.85508,"['80 Middle Rd', 'Singapore 188966', 'Singapore']",3.5,11,$$$
1469,Tapa King,filipino,1.2807249,103.850442,"['18 Raffles Quay', 'Stall 92, Lau Pa Sat', 'Singapore 048582', 'Singapore']",4.5,2,$
1470,Inasal,filipino,1.304423,103.8340325,"['304 Orchard Road', '#04-49 - 52', 'Singapore 238863', 'Singapore']",4.5,7,$
1471,Jollibee,filipino,1.30453687166266,103.833860456944,"['304 Orchard Road', '6th Floor', 'Singapore 238863', 'Singapore']",3.5,16,$
1472,Kabayan,filipino,1.30446,103.833674,"['304 Orchard Rd', '#03-25', 'Singapore 238863', 'Singapore']",3.0,2,$
